 103; 47    Psc;00 28 02.9;+17 53 35; 5.06
 104;          ;00 28 13.7;+44 23 40; 5.17
 105;   Eta Scl;00 27 55.7;-33 00 26; 4.81
 106; 48    Psc;00 28 12.7;+16 26 42; 6.06
 107;          ;00 28 20.1;+10 11 23; 6.04
 108;          ;00 28 21.1;-20 20 06; 6.43
 109;          ;00 28 26.4;-39 54 54; 5.43
 110;          ;00 28 56.6;+36 54 00; 6.26
 111;          ;00 28 43.1;-50 31 58; 6.26
 112;          ;00 30 55.0;+77 01 10; 6.21
 113;          ;00 30 19.9;+59 58 38; 5.94
 114; 28    And;00 30 07.3;+29 45 06; 5.23
 115;          ;00 29 51.9;-14 51 51; 6.14
 116;          ;00 29 48.9;-32 07 00; 6.57
 117; 12    Cet;00 30 02.4;-03 57 26; 5.72
 118;          ;00 30 22.7;-23 47 16; 5.19
 119;          ;00 30 27.8;-40 56 22; 6.19
 120;          ;00 30 26.1;-48 12 54; 5.69
 121; 13    Cas;00 31 25.3;+66 31 10; 6.18
 122;          ;00 31 25.6;+33 34 54; 5.87
 123; 14Lam Cas;00 31 46.4;+54 31 20; 4.73
 124;          ;00 31 41.2;+52 50 22; 5.60
 125;   Lam1Phe;00 31 25.0;-48 48 13; 4.77
 126;   Bet1Tuc;00 31 32.7;-62 57 29; 4.37
 127;   Bet2Tuc;00 31 33.6;-62 57 57; 4.54
 128;          ;00 32 26.8;+43 29 41; 6.70
 129;          ;00 33 19.3;+70 58 54; 6.42
 130; 15Kap Cas;00 33 00.0;+62 55 54; 4.16
 131; 52    Psc;00 32 35.5;+20 17 40; 5.38
 132; 51    Psc;00 32 23.8;+06 57 20; 5.67
 133;          ;00 32 34.5;+27 34 50; 6.67
 134;          ;00 32 49.1;+28 16 49; 6.30
 135;          ;00 33 10.4;+54 53 42; 5.93
 136;   Bet3Tuc;00 32 43.8;-63 01 52; 5.09
 137; 16    Cas;00 34 24.9;+66 45 01; 6.48
 138;          ;00 33 41.1;-29 33 30; 5.55
 139;   The Tuc;00 33 23.3;-71 15 58; 6.13
 140;          ;00 34 27.8;-52 22 23; 5.57
 141;          ;00 34 55.3;+13 22 16; 6.40
 142; 13    Cet;00 35 14.9;-03 35 34; 5.20
 143; 14    Cet;00 35 32.8;-00 30 20; 5.93
 144;          ;00 36 08.3;+54 10 07; 5.08
 145;          ;00 35 54.7;+13 12 24; 6.41
 146;          ;00 36 27.3;+60 19 34; 5.79
 147;   Lam2Phe;00 35 41.1;-48 00 03; 5.51
 148;          ;00 35 33.4;-54 49 19; 6.06
 149;          ;00 36 20.0;+27 15 17; 6.50
 150;          ;00 36 03.0;-14 58 25; 6.45
 151;          ;00 36 06.9;-22 50 33; 6.06
 152;          ;00 36 46.6;+44 29 19; 5.13
 153; 17Zet Cas;00 36 58.3;+53 53 49; 3.66
 154; 29Pi  And;00 36 52.9;+33 43 10; 4.36
 155; 53    Psc;00 36 47.3;+15 13 54; 5.89
 156;          ;00 37 07.2;+24 00 51; 6.47
 157;          ;00 37 21.1;+35 23 58; 5.48
 158;          ;00 39 47.3;+82 29 38; 6.40
 159;          ;00 37 20.7;-24 46 02; 5.57
 160;          ;00 36 37.4;-65 07 29; 6.42
 161;          ;00 37 30.5;+03 08 07; 6.39
 162;          ;00 37 18.1;-54 23 39; 6.41
 163; 30Eps And;00 38 33.3;+29 18 42; 4.37
 164;          ;00 39 09.9;+49 21 16; 5.43
 165; 31Del And;00 39 19.7;+30 51 39; 3.27
 166; 54    Psc;00 39 21.8;+21 15 02; 5.87
 167; 55    Psc;00 39 55.6;+21 26 18; 5.36
 168; 18Alp Cas;00 40 30.5;+56 32 14; 2.23
 169;          ;00 38 40.8;-73 08 14; 6.85
 170;          ;00 39 57.9;-33 57 42; 6.69
 171;          ;00 39 52.0;-44 47 48; 6.01
 172;          ;00 40 28.6;-16 31 01; 6.49
 173;          ;00 40 32.9;-23 48 16; 6.14
 174;          ;00 40 42.4;-04 21 07; 5.91
 175; 32    And;00 41 07.2;+39 27 31; 5.33
 176;          ;00 40 26.4;-59 27 16; 5.89
 177;          ;00 42 03.4;+66 08 51; 5.83
 178;          ;00 41 36.0;+24 37 45; 6.04
 179; 19Xi  Cas;00 42 03.9;+50 30 45; 4.80
 180;   Mu  Phe;00 41 19.6;-46 05 06; 4.59
 181;          ;00 42 31.1;+58 45 12; 6.17
 182; M 31  And;          ;         ;
 183;   Xi  Phe;00 41 46.4;-56 30 06; 5.70
 184; 20Pi  Cas;00 43 28.1;+47 01 29; 4.94
 185;   Lam1Scl;00 42 42.9;-38 27 48; 6.06
 186;          ;00 42 41.8;-60 15 45; 5.98
 187;   Rho Tuc;00 42 28.4;-65 28 05; 5.39
 188; 16Bet Cet;00 43 35.4;-17 59 12; 2.04
 189;          ;00 44 26.4;+47 51 51; 5.67
 190;          ;00 43 50.2;-12 00 42; 6.02
 191;   Eta Phe;00 43 21.2;-57 27 47; 4.36
 192; 21    Cas;00 45 39.0;+74 59 17; 5.66
 193; 22Omi Cas;00 44 43.5;+48 17 04; 4.54
 194; 17Phi1Cet;00 44 11.4;-10 36 34; 4.76
 195;   Lam2Scl;00 44 12.1;-38 25 18; 5.90
 196;          ;00 45 17.2;+55 13 18; 5.42
 197;          ;00 44 44.4;-22 00 22; 5.24
 198;          ;00 44 57.1;-42 40 36; 5.94
 199;          ;00 44 32.3;-62 29 52; 6.07
 200;          ;00 46 39.0;+69 19 30; 6.33
 201;          ;00 45 24.1;-04 37 45; 6.15
 202;          ;00 45 00.0;-53 42 54; 6.15
 203; 18    Cet;00 45 28.7;-12 52 51; 6.15
 204;          ;00 46 15.1;+55 18 19; 6.52
 205;          ;00 46 10.9;+44 51 41; 6.05
 206;          ;00 45 41.7;-16 25 27; 6.47
 207;          ;00 46 42.4;+59 34 28; 6.39
 208; 23    Cas;00 47 46.1;+74 50 51; 5.41
 209;          ;00 45 45.6;-47 33 06; 5.80
 210;          ;00 46 11.8;-22 31 19; 5.50
 211; 57    Psc;00 46 33.0;+15 28 32; 5.38
 212;          ;00 48 09.1;+72 40 30; 5.87
 213; 58    Psc;00 47 01.5;+11 58 26; 5.50
 214; 59    Psc;00 47 13.6;+19 34 44; 6.13
 215; 34Zet And;00 47 20.3;+24 16 02; 4.06
 216; 60    Psc;00 47 23.6;+06 44 27; 5.99
 217; 61    Psc;00 47 54.8;+20 55 31; 6.54
 218;          ;00 47 43.3;-18 03 41; 5.70
 219; 24Eta Cas;00 49 06.0;+57 48 57; 3.44
 220;          ;00 48 01.1;-21 43 21; 5.57
 221; 62    Psc;00 48 17.4;+07 18 00; 5.93
 222;          ;00 48 23.0;+05 16 50; 5.75
 223; 25Nu  Cas;00 48 50.1;+50 58 06; 4.89
 224; 63Del Psc;00 48 41.0;+07 35 06; 4.43
 225; 64    Psc;00 48 58.7;+16 56 26; 5.07
 226; 35Nu  And;00 49 48.8;+41 04 44; 4.53
 227;          ;00 49 25.6;-13 33 41; 5.59
 228;          ;00 49 13.9;-24 08 11; 5.90
 229;          ;00 48 56.7;-46 41 52; 6.27
 230; 65    Psc;00 49 52.8;+27 42 39; 7.00
 231; 65    Psc;00 49 53.2;+27 42 37; 7.10
 232;          ;00 49 33.4;-23 21 42; 6.28
 233;          ;00 50 43.6;+64 14 51; 5.39
 234;          ;00 50 18.3;+45 00 08; 6.15
 235; 19Phi2Cet;00 50 07.6;-10 38 40; 5.19
 236;   Lam Hyi;00 48 35.4;-74 55 24; 5.07
 237;          ;00 51 16.4;+61 48 21; 6.07
 238;          ;00 50 57.4;+51 30 29; 6.39
 239;          ;00 50 03.7;-43 23 41; 6.48
 240;          ;00 54 53.1;+83 42 26; 5.62
 241;          ;00 51 33.7;+51 34 16; 6.21
 242;   Rho Phe;00 50 41.2;-50 59 13; 5.22
 243;          ;00 51 18.3;+03 23 06; 6.37
 244;          ;00 53 04.1;+61 07 27; 4.82
 245;          ;00 51 52.1;-43 42 33; 6.90
 246;          ;00 52 53.4;+38 32 55; 6.69
 247;          ;00 52 40.6;-24 00 21; 5.46
 248; 20    Cet;00 53 00.5;-01 08 39; 4.77
 249;          ;00 53 28.2;+37 25 05; 6.06
 250;          ;00 53 47.6;+52 41 21; 6.27
 251;          ;00 53 12.4;-24 46 37; 6.46
 252;   Lam1Tuc;00 52 24.3;-69 30 16; 6.22
 253; 26Ups1Cas;00 55 00.1;+58 58 22; 4.83
 254; 66    Psc;00 54 35.2;+19 11 18; 5.74
 255; 21    Cet;00 54 17.6;-08 44 27; 6.16
 256;          ;00 55 05.2;+48 40 43; 6.27
 257;          ;00 53 37.9;-62 52 17; 5.70
 258; 36    And;00 54 58.0;+23 37 42; 5.47
 259;          ;00 55 14.7;+24 33 25; 6.20
 260;          ;00 56 12.9;+57 59 48; 6.21
 261;          ;00 56 55.6;+68 46 34; 6.37
 262; 67    Psc;00 55 58.5;+27 12 34; 6.09
 263;          ;00 55 42.4;-07 20 50; 5.85
 264; 27Gam Cas;00 56 42.5;+60 43 00; 2.47
 265; 28Ups2Cas;00 56 39.8;+59 10 52; 4.63
 266;          ;00 56 47.1;+60 21 46; 5.55
 267; 22Phi3Cet;00 56 01.5;-11 16 00; 5.31
 268;          ;00 55 55.5;-27 46 32; 6.10
 269; 37Mu  And;00 56 45.2;+38 29 58; 3.87
 270;   Lam2Tuc;00 55 00.3;-69 31 37; 5.45
 271; 38Eta And;00 57 12.4;+23 25 03; 4.42
 272;          ;00 57 39.7;+45 50 23; 6.12
 273;          ;00 58 31.1;+66 21 08; 5.97
 274; 68    Psc;00 57 50.2;+28 59 32; 5.42
 275;          ;00 58 14.2;+33 57 03; 5.98
 276;          ;00 57 54.5;+13 41 45; 6.32
 277;          ;00 58 18.9;+21 24 16; 6.37
 278;          ;01 00 31.0;+70 58 59; 6.39
 279; 23Phi4Cet;00 58 43.9;-11 22 48; 5.61
 280;   Alp Scl;00 58 36.4;-29 21 27; 4.31
 281;          ;00 58 22.4;-60 41 47; 6.23
 282;          ;01 00 03.4;+44 42 40; 6.84
 283;          ;01 00 03.6;+44 42 48; 6.04
 284;          ;00 59 49.7;+06 28 59; 6.11
 285;          ;01 08 44.7;+86 15 25; 4.25
 286;          ;01 33 50.4;+89 00 56; 6.46
 287;          ;01 02 18.4;+51 02 06; 6.47
 288;   Xi  Scl;01 01 18.3;-38 55 00; 5.59
 289;          ;01 03 01.5;+47 22 34; 6.45
 290; 39    And;01 02 54.3;+41 20 42; 5.98
 291; 69Sig Psc;01 02 49.1;+31 48 16; 5.50
 292;          ;01 03 37.0;+61 04 30; 5.92
 293;   Sig Scl;01 02 26.4;-31 33 07; 5.50
 294; 71Eps Psc;01 02 56.6;+07 53 24; 4.28
 295;   Ome Phe;01 02 01.8;-57 00 09; 6.11
 296; 25    Cet;01 03 02.6;-04 50 12; 5.43
 297;          ;01 04 19.6;+61 34 49; 5.84
 298;          ;01 04 02.4;+52 30 08; 5.99
 299;          ;01 02 49.2;-46 23 51; 5.36
 300;          ;01 03 17.6;-29 31 33; 6.29
 301; 26    Cet;01 03 49.0;+01 22 00; 6.04
 302;          ;01 04 46.8;+51 00 36; 6.54
 303;          ;01 04 27.6;+29 39 31; 6.19
 304;          ;01 02 42.9;-65 27 22; 6.21
 305;          ;01 04 36.4;+39 59 28; 6.72
 306;          ;01 16 13.5;+87 08 43; 6.25
 307; 73    Psc;01 04 52.6;+05 39 23; 6.00
 308; 72    Psc;01 05 05.4;+14 56 46; 5.68
 309;          ;01 06 22.8;+62 45 42; 6.54
 310; 74Psi1Psc;01 05 40.9;+21 28 24; 5.34
 311; 74Psi1Psc;01 05 41.7;+21 27 55; 5.56
 312;          ;01 09 12.3;+80 00 42; 6.29
 313; 77    Psc;01 05 49.2;+04 54 30; 6.35
 314; 77    Psc;01 05 51.4;+04 54 34; 7.25
 315; 27    Cet;01 05 36.8;-09 58 45; 6.12
 316;          ;01 07 00.2;+56 56 06; 6.43
 317; 28    Cet;01 06 05.1;-09 50 22; 5.58
 318;          ;01 07 09.5;+53 29 54; 6.38
 319; 75    Psc;01 06 33.6;+12 57 22; 6.12
 320;          ;01 06 07.7;-23 59 33; 6.14
 321; 30Mu  Cas;01 08 16.4;+54 55 13; 5.17
 322;   Bet Phe;01 06 05.0;-46 43 07; 3.31
 323;          ;01 06 26.5;-35 39 39; 6.61
 324; 41    And;01 08 00.9;+43 56 31; 5.03
 325;          ;01 07 13.1;-23 59 47; 6.37
 326;          ;01 08 33.3;+58 15 49; 5.79
 327; 78    Psc;01 08 01.3;+32 00 44; 6.25
 328; 79Psi2Psc;01 07 57.2;+20 44 21; 5.55
 329; 30    Cet;01 07 46.2;-09 47 08; 5.82
 330; 80    Psc;01 08 22.2;+05 38 59; 5.52
 331;   Ups Phe;01 07 47.9;-41 29 13; 5.21
 332;   Iot Tuc;01 07 18.7;-61 46 31; 5.37
 333;          ;01 12 16.7;+79 40 26; 5.64
 334; 31Eta Cet;01 08 35.4;-10 10 56; 3.45
 335; 42Phi And;01 09 30.2;+47 14 31; 4.25
 336; 31    Cas;01 10 39.3;+68 46 43; 5.29
 337; 43Bet And;01 09 43.9;+35 37 14; 2.06
 338;   Zet Phe;01 08 23.1;-55 14 45; 3.92
 339; 81Psi3Psc;01 09 49.2;+19 39 31; 5.55
 340; 44    And;01 10 18.8;+42 04 53; 5.65
 341;          ;01 10 19.4;+25 27 28; 5.80
 342;          ;01 11 25.6;+64 12 10; 5.55
 343; 33The Cas;01 11 06.2;+55 08 59; 4.33
 344;          ;01 10 11.5;+15 40 27; 6.06
 345; 32    Cas;01 11 41.4;+65 01 08; 5.57
 346; 32    Cet;01 10 12.0;-08 54 22; 6.40
 347; 33    Cet;01 10 33.6;+02 26 44; 5.95
 348; 45    And;01 11 10.3;+37 43 27; 5.81
 349; 82    Psc;01 11 06.8;+31 25 29; 5.16
 350;          ;01 10 07.4;-57 41 40; 6.41
 351; 84Chi Psc;01 11 27.2;+21 02 05; 4.66
 352; 83Tau Psc;01 11 39.6;+30 05 23; 4.51
 353; 34    Cet;01 11 43.5;-02 15 04; 5.94
 354;          ;01 13 09.9;+61 42 21; 6.41
 355;          ;01 12 34.0;+45 20 16; 6.11
 356;          ;01 12 59.5;+30 03 51; 6.19
 357;          ;01 16 30.7;+79 54 36; 6.26
 358;          ;01 12 23.4;-30 48 08; 6.52
 359;          ;01 12 45.4;-37 51 23; 5.92
 360; 85Phi Psc;01 13 44.9;+24 35 01; 4.65
 361; 86Zet Psc;01 13 43.9;+07 34 31; 5.24
 362; 86Zet Psc;01 13 45.3;+07 34 42; 6.30
 363;          ;01 14 05.0;+28 31 47; 6.43
 364; 87    Psc;01 14 07.6;+16 08 01; 5.98
 365;          ;01 16 12.1;+71 44 38; 7.83
 366; 37    Cet;01 14 24.0;-07 55 23; 5.13
 367; 88    Psc;01 14 42.4;+06 59 43; 6.03
 368; 38    Cet;01 14 49.2;-00 58 26; 5.70
 369;          ;01 16 24.5;+48 04 56; 6.61
 370;   Nu  Phe;01 15 11.1;-45 31 53; 4.96
 371;          ;01 16 18.8;+33 06 53; 6.02
 372;          ;01 17 05.1;+44 54 07; 6.34
 373; 39    Cet;01 16 36.3;-02 30 01; 5.41
 374;          ;01 17 24.1;+31 44 41; 6.73
 375;          ;01 20 19.5;+77 34 14; 6.31
 376;          ;01 18 10.2;+47 25 11; 6.25
 377;   Kap Tuc;01 15 46.1;-68 52 34; 4.86
 378; 89    Psc;01 17 48.0;+03 36 52; 5.16
 379;          ;01 18 47.0;+37 23 10; 6.46
 380;          ;01 17 03.6;-66 23 53; 6.24
 381;          ;01 21 59.1;+76 14 20; 6.38
 382; 34Phi Cas;01 20 04.9;+58 13 54; 4.98
 383; 90Ups Psc;01 19 28.0;+27 15 51; 4.76
 384; 35    Cas;01 21 05.2;+64 39 30; 6.34
 385; 42    Cet;01 19 48.3;-00 30 32; 5.87
 386;          ;01 23 46.8;+78 43 33; 6.07
 387;          ;01 20 34.5;-03 14 49; 6.23
 388;          ;01 20 27.8;-11 14 20; 6.15
 389; 91    Psc;01 21 07.4;+28 44 17; 5.23
 390; 46Xi  And;01 22 20.4;+45 31 44; 4.88
 391;          ;01 23 21.6;+58 08 35; 6.45
 392;          ;01 22 37.0;+01 43 35; 6.20
 393; 43    Cet;01 22 34.8;-00 26 59; 6.49
 394;          ;01 22 30.5;-19 04 53; 6.35
 395; 47    And;01 23 40.6;+37 42 54; 5.58
 396;          ;01 23 37.5;+34 14 45; 6.29
 397;          ;01 23 24.9;+20 28 08; 5.97
 398;          ;01 25 46.5;+70 58 48; 6.49
 399; 36Psi Cas;01 25 56.0;+68 07 48; 4.74
 400;          ;01 23 31.0;-30 56 44; 5.84
 401; 44    Cet;01 24 02.5;-08 00 27; 6.21
 402; 45The Cet;01 24 01.4;-08 11 00; 3.60
 403; 37Del Cas;01 25 49.0;+60 14 07; 2.68
 404;          ;01 24 20.6;-06 54 53; 5.91
 405;          ;01 24 39.8;-15 39 37; 6.14
 406;          ;01 24 48.7;-02 50 55; 6.15
 407;          ;01 25 35.7;+23 30 42; 6.18
 408;          ;01 24 40.8;-41 29 33; 5.42
 409;          ;01 26 18.6;+43 27 28; 5.96
 410;          ;01 26 08.7;+34 34 47; 6.31
 411;          ;01 24 41.9;-44 31 42; 6.26
 412; 46    Cet;01 25 37.2;-14 35 56; 4.90
 413; 93Rho Psc;01 26 15.3;+19 10 20; 5.38
 414; 94    Psc;01 26 41.7;+19 14 25; 5.50
 415;          ;01 27 06.2;+34 22 39; 6.27
 416;          ;01 26 27.3;-00 23 55; 6.41
 417; 48Ome And;01 27 39.4;+45 24 24; 4.83
 418;          ;01 27 26.6;+41 06 02; 6.46
 419;          ;01 26 53.5;+03 32 07; 6.58
 420;          ;01 25 05.3;-64 22 10; 5.93
 421; 47    Cet;01 26 51.6;-13 03 24; 5.66
 422;          ;01 27 47.0;+40 20 08; 6.60
 423;          ;01 26 58.1;-32 32 35; 5.79
 424;  1Alp UMi;02 31 48.7;+89 15 51; 2.02
 425;          ;01 27 46.6;-10 54 06; 6.13
 426;          ;01 28 22.9;+07 57 41; 6.20
 427; 38    Cas;01 31 13.8;+70 15 53; 5.81
 428;          ;01 30 52.3;+66 05 53; 6.14
 429;   Gam Phe;01 28 21.9;-43 19 06; 3.41
 430; 49    And;01 30 06.2;+47 00 26; 5.27
 431;          ;01 28 43.3;-33 45 49; 6.58
 432; 97    Psc;01 29 52.9;+18 21 20; 6.02
 433; 48    Cet;01 29 36.1;-21 37 46; 5.12
 434; 98Mu  Psc;01 30 11.1;+06 08 38; 4.84
 435;          ;01 29 30.4;-46 45 23; 6.31
 436;          ;01 30 22.9;-26 12 28; 5.93
 437; 99Eta Psc;01 31 29.0;+15 20 45; 3.62
 438;          ;01 32 07.6;+34 48 00; 6.39
 439;          ;01 33 25.8;+58 19 39; 5.70
 440;   Del Phe;01 31 15.1;-49 04 22; 3.95
 441;          ;01 31 43.3;-30 17 00; 5.82
 442; 39Chi Cas;01 33 55.9;+59 13 55; 4.71
 443;          ;01 31 39.1;-45 34 32; 6.17
 444;          ;01 33 03.5;-09 00 53; 6.59
 445;          ;01 32 56.0;-36 51 55; 5.51
 446;          ;01 34 16.6;+37 14 14; 5.88
 447;          ;01 32 36.3;-49 43 40; 6.28
 448;          ;01 33 42.9;-07 01 31; 5.76
 449;          ;01 37 22.5;+74 18 03; 6.58
 450;          ;01 34 49.1;+18 27 38; 5.89
 451; 49    Cet;01 34 37.8;-15 40 34; 5.63
 452;          ;01 35 52.5;+41 04 35; 6.38
 453;          ;01 34 50.7;-31 53 32; 6.12
 454;          ;01 36 27.2;+48 43 22; 5.92
 455;101    Psc;01 35 46.4;+14 39 41; 6.22
 456; 40    Cas;01 38 30.9;+73 02 24; 5.28
 457;          ;01 35 54.8;+17 26 01; 5.80
 458; 50Ups And;01 36 47.8;+41 24 20; 4.09
 459; 50    Cet;01 35 59.0;-15 24 01; 5.42
 460;          ;01 35 15.2;-58 08 22; 6.01
 461;          ;01 38 07.6;+57 58 39; 5.56
 462;   Tau Scl;01 36 08.4;-29 54 27; 5.69
 463;102Pi  Psc;01 37 05.9;+12 08 30; 5.57
 464; 51    And;01 37 59.6;+48 37 42; 3.57
 465;          ;01 38 31.7;+45 24 00; 6.36
 466;          ;01 37 37.7;-09 24 14; 6.24
