M,NGC,TYPE,CONS,AD,DÉC,MAG,TAILLE,DIST (al),Meilleur saison,difficulté d'observation
M65,NGC 3623,Galaxie spirale,Le Lion,11h 18.9m,13°5,9.3,8x1.5,"35,000,000",Printemps,Modéré
M66,NGC 3627,Galaxie spirale,Le Lion,11h 20.2m,12°59,8.9,8x2.5,"35,000,000",Printemps,Facile
M67,NGC 2682,Amas ouverts,Cancer,8h 50.4m,11°49,6.1,30,"2,700",Hiver,Facile
M68,NGC 4590,Amas globulaire,L'Hydre,12h 39.5m,-26°45,7.8,12,"33,300",Printemps,Trés Difficile
M69,NGC 6637,Amas globulaire,Sagittaire,18h 31.4m,-32°21,7.6,7.1,"26,700",été,Modéré
M70,NGC 6681,Amas globulaire,Sagittaire,18h 43.2m,-32°18,7.9,7.8,"28,000",été,Modéré
M71,NGC 6838,Amas globulaire,Sagitta,19h 53.8m,18°47,8.3,7.2,"11,700",été,Modéré
M72,NGC 6981,Amas globulaire,Le Verseau,20h 53.5m,-12°32,9.3,5.9,"52,800",été,Modéré
M73,NGC 6994,Group/Asterism,Le Verseau,20h 59m,-12°38,9,2.8,"2,000",été,Difficile
M74,NGC 628,Galaxie spirale,Poissons,1h 36.7m,15°47,9.4,10.2x9.5,"35,000,000",Automne,Trés Difficile
M75,NGC 6864,Amas globulaire,Sagittaire,20h 6.1m,-21°55,8.5,6,"57,700",été,Modéré
M76,NGC 650,Nébuleuse planétaire,Persée,1h 42.3m,51°34,10.1,2.7x1.8,"3,400",Automne,Modéré
M77,NGC 1068,Galaxie spirale,Cetus,2h 42.7m,0°1,8.9,7x6,"60,000,000",Automne,Modéré
M78,NGC 2068,Nébuleuse diffuse,Orion,5h 46.7m,0°3,8.3,8x6,"1,600",Hiver,Modéré
M79,NGC 1904,Amas globulaire,Le Lièvre,5h 24.5m,-24°33,7.7,8.7,"41,100",Hiver,Modéré
M80,NGC 6093,Amas globulaire,Le Scorpion,16h 17m,-22°59,7.3,8.9,"27,400",été,Facile
M81,NGC 3031,Galaxie spirale,La Grande Ourse,9h 55.6m,69°4,6.9,21x10,"12,000,000",Printemps,Facile
M82,NGC 3034,Galaxie irrégulière,La Grande Ourse,9h 55.8m,69°41,8.4,9.x4,"12,000,000",Printemps,Facile
M83,NGC 5236,Galaxie spirale,L'Hydre,13h 37m,-29°52,7.6,11x10,"15,000,000",Printemps,Difficile
M84,NGC 4374,Galaxie lenticulaire (S0),La Vierge,12h 25.1m,12°53,9.1,5,"60,000,000",Printemps,Modéré
M85,NGC 4382,Galaxie lenticulaire (S0),Chevelure de Bérénice,12h 25.4m,18°11,9.1,7.1x5.2,"60,000,000",Printemps,Modéré
M86,NGC 4406,Galaxie lenticulaire (S0),La Vierge,12h 26.2m,12°57,8.9,7.5x5.5,"60,000,000",Printemps,Modéré
M87,NGC 4486,Galaxie elliptique,La Vierge,12h 30.8m,12°24,8.6,7,"60,000,000",Printemps,Modéré
M88,NGC 4501,Galaxie spirale,Chevelure de Bérénice,12h 32m,14°25,9.6,7x4,"60,000,000",Printemps,Modéré
M89,NGC 4552,Galaxie elliptique,La Vierge,12h 35.7m,12°33,9.8,4,"60,000,000",Printemps,Modéré
M90,NGC 4569,Galaxie spirale,La Vierge,12h 36.8m,13°10,9.5,9.5x4.5,"60,000,000",Printemps,Difficile
M91,NGC 4548,Galaxie spirale,Chevelure de Bérénice,12h 35.4m,14°30,10.2,5.4x4.4,"60,000,000",Printemps,Trés Difficile
M92,NGC 6341,Amas globulaire,Hercule,17h 17.1m,43°8,6.4,11.2,"26,400",été,Facile
M93,NGC 2447,Amas ouverts,Poupe,7h 44.6m,-23°52,6,22,"3,600",Hiver,Facile
M94,NGC 4736,Galaxie spirale,Les Chiens de chasse,12h 50.9m,41°7,8.2,7x3,"14,500,000",Printemps,Modéré
M95,NGC 3351,Galaxie spirale,Le Lion,10h 44m,11°42,9.7,4.4x3.3,"38,000,000",Printemps,Difficile
M96,NGC 3368,Galaxie spirale,Le Lion,10h 46.8m,11°49,9.2,6x4,"38,000,000",Printemps,Modéré
M97,NGC 3587,Nébuleuse planétaire,La Grande Ourse,11h 14.8m,55°1,9.9,3.4x3.3,"2,600",Printemps,Trés Difficile
M98,NGC 4192,Galaxie spirale,Chevelure de Bérénice,12h 13.8m,14°54,10.1,9.5x3.2,"60,000,000",Printemps,Trés Difficile
M99,NGC 4254,Galaxie spirale,Chevelure de Bérénice,12h 18.8m,14°25,9.9,5.4x4.8,"60,000,000",Printemps,Difficile
M100,NGC 4321,Galaxie spirale,Chevelure de Bérénice,12h 22.9m,15°49,9.3,7x6,"60,000,000",Printemps,Trés Difficile
M101,NGC 5457,Galaxie spirale,La Grande Ourse,14h 3.2m,54°21,7.9,22,"27,000,000",Printemps,Trés Difficile
M102,NGC 5866,Galaxie lenticulaire (S0),Le Dragon,15h 6.5m,55°46,9.9,5.2x2.3,"40,000,000",été,Difficile
M103,NGC 581,Amas ouverts,Cassiopée,1h 33.2m,60°42,7.4,6,"8,000",Automne,Facile
M104,NGC 4594,Galaxie spirale,La Vierge,12h 40m,-11°37,8,9x4,"50,000,000",Printemps,Facile
M105,NGC 3379,Galaxie elliptique,Le Lion,10h 47.8m,12°35,9.3,2,"38,000,000",Printemps,Modéré
M106,NGC 4258,Galaxie spirale,Les Chiens de chasse,12h 19m,47°18,8.4,19x8,"25,000,000",Printemps,Difficile
M107,NGC 6171,Amas globulaire,Ophiucus,16h 32.5m,-13°3,7.9,10,"19,600",été,Difficile
M108,NGC 3556,Galaxie spirale,La Grande Ourse,11h 11.5m,55°40,10,8x1,"45,000,000",Printemps,Difficile
M109,NGC 3992,Galaxie spirale,La Grande Ourse,11h 57.6m,53°23,9.8,7x4,"55,000,000",Printemps,Difficile
M110,NGC 205,Galaxie elliptique,Andromède,0h 40.4m,41°41,8.5,17x10,"2,900,000",Automne,Difficile
