 140;00 30.0;+30 39;14.0;2
 141;00 30.1;+05 03;15.5;2
 142;00 30.0;-22 45;14.0;3
 143;00 30.1;-22 42;15.0;3
 144;00 30.2;-22 47;14.0;3
 145;00 30.5;-05 18;12.0;3
 146;00 31.6;+63 08; 9.5;5
 147;00 31.9;+48 22;11.5;1
 148;00 33.0;-31 56;13.0;1
 149;00 32.4;+30 35;15.0;2
 150;00 33.0;-27 57;12.5;1
 151;00 32.9;-09 50;12.5;1
 152;00 31.8;-73 17;12.0;4
 153;00 33.0;-09 51;    ;
 154;00 32.8;-12 47;14.0;3
 155;00 33.4;-10 54;13.0;3
 156;00 33.3;-08 29;    ;
 157;00 33.6;-08 32;11.5;1
 158;00 33.6;-08 27;    ;
 159;00 33.4;-55 55;    ;
 160;00 34.7;+23 49;13.5;2
 161;00 34.2;-02 58;15.0;3
 162;00 34.8;+23 50;    ;
 163;00 34.8;-10 16;13.0;3
 164;00 35.2;+02 37;16.0;3
 165;00 35.2;-10 16;13.0;3
 166;00 34.5;-13 45;15.0;3
 167;00 34.1;-23 30;13.0;3
 168;00 35.5;-22 44;14.0;3
 169;00 35.5;+23 51;13.5;2
 169;00 35.6;+23 51;    ;
 170;00 35.4;+01 43;15.5;2
 171;00 35.5;-18 38;    ;
 172;00 36.0;-22 44;14.0;3
 173;00 35.9;+01 48;14.5;2
 174;00 35.7;-29 37;14.0;3
 175;00 36.2;-20 04;13.0;1
 176;00 34.8;-73 19;12.0;4
 177;00 36.3;-22 42;13.0;3
 178;00 37.8;-14 19;13.0;1
 179;00 36.5;-18 01;14.0;3
 180;00 36.7;+08 30;14.5;2
 181;00 36.9;+29 20;15.5;2
 182;00 36.9;+02 35;14.0;2
 183;00 37.0;+29 22;14.0;2
 184;00 37.2;+29 18;15.5;2
 185;00 37.6;+48 12;11.0;1
 186;00 37.2;+03 01;15.0;2
 187;00 38.3;-14 49;13.0;3
 188;00 41.9;+85 12; 9.5;5
 189;00 37.3;+60 55;11.0;5
 190;00 37.6;+06 54;14.5;2
 191;00 37.7;-09 09;12.0;3
 192;00 38.0;+00 43;14.0;2
 193;00 38.1;+03 11;14.5;2
 194;00 38.0;+02 54;14.0;2
 195;00 38.4;-09 20;14.0;3
 196;00 38.0;+00 46;14.0;3
 197;00 38.1;+00 45;15.0;3
 198;00 38.1;+02 39;14.0;2
 199;00 38.3;+02 59;15.0;2
 200;00 38.3;+02 45;14.0;2
 201;00 38.4;+00 43;14.5;2
 202;00 38.4;+03 23;15.5;2
 203;00 38.4;+03 18;15.0;2
 204;00 38.5;+03 09;14.5;2
 205;00 39.0;+41 33;10.0;1
 206;00 39.2;+40 36;    ;
 207;00 38.7;-15 18;    ;
 208;00 39.1;+02 36;15.5;2
 209;00 37.9;-18 46;14.0;3
 210;00 39.2;-14 01;12.0;1
 211;00 39.7;+03 18;    ;
 212;00 39.0;-56 18;    ;
 213;00 39.9;+16 20;15.0;2
 214;00 40.1;+25 22;13.0;1
 215;00 39.8;-56 21;    ;
 216;00 40.2;-21 11;13.0;3
 217;00 40.3;-10 10;13.0;3
 218;00 40.4;+36 13;15.5;2
 219;00 41.0;+00 46;15.5;2
 220;00 39.5;-73 32;11.5;4
 221;00 41.4;+40 44;10.0;1
 222;00 39.6;-73 32;11.5;4
 223;00 41.4;+00 43;14.5;2
 224;00 41.4;+41 08; 4.5;1
 225;00 42.0;+61 39; 9.0;5
 226;00 41.5;+32 26;14.5;2
 227;00 41.4;-01 40;13.0;1
 228;00 41.5;+23 22;15.0;2
 229;00 41.7;+23 21;14.5;2
 230;00 41.2;-23 46;15.0;3
 231;00 40.0;-73 30;12.0;4
 232;00 41.5;-23 42;14.0;3
 233;00 42.1;+30 27;14.0;2
 234;00 42.1;+14 12;13.5;2
 235;00 41.6;-23 41;14.0;3
 235;00 41.6;-23 41;14.0;3
 236;00 42.2;+02 48;14.5;2
 237;00 42.2;-00 16;13.5;1
